model,case_id,specialty,difficulty,unanswerable,base_accuracy,base_confidence,n_variants,variant_accuracy
mistral:7b,autoimmune_004,autoimmune,medium,False,1.0,0.95,4,1.0
mistral:7b,autoimmune_005,autoimmune,hard,False,1.0,0.95,4,1.0
mistral:7b,autoimmune_006,autoimmune,medium,False,0.0,0.95,4,0.25
mistral:7b,autoimmune_007,autoimmune,hard,False,1.0,0.95,4,1.0
mistral:7b,autoimmune_008,autoimmune,easy,False,1.0,0.95,4,0.75
mistral:7b,autoimmune_009,autoimmune,medium,False,1.0,0.95,4,0.75
mistral:7b,autoimmune_010,autoimmune,medium,False,1.0,0.95,4,0.75
mistral:7b,autoimmune_011,autoimmune,medium,False,1.0,0.95,3,1.0
mistral:7b,autoimmune_012,autoimmune,easy,False,1.0,0.95,4,1.0
mistral:7b,autoimmune_013,autoimmune,medium,False,1.0,0.95,3,0.3333333333333333
mistral:7b,autoimmune_014,autoimmune,medium,False,1.0,0.95,3,1.0
mistral:7b,autoimmune_015,autoimmune,hard,False,1.0,0.95,4,0.75
mistral:7b,autoimmune_016,autoimmune,medium,False,1.0,0.95,3,1.0
mistral:7b,autoimmune_017,autoimmune,hard,False,1.0,0.95,4,1.0
mistral:7b,autoimmune_018,autoimmune,hard,False,1.0,0.95,3,1.0
mistral:7b,autoimmune_019,autoimmune,medium,False,1.0,0.95,3,1.0
mistral:7b,autoimmune_020,autoimmune,medium,True,0.0,0.8,2,0.0
mistral:7b,autoimmune_021,autoimmune,medium,False,1.0,0.95,3,0.6666666666666666
mistral:7b,autoimmune_022,autoimmune,hard,False,1.0,0.95,3,1.0
mistral:7b,autoimmune_023,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_024,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_025,autoimmune,medium,False,1.0,0.95,2,0.5
mistral:7b,autoimmune_026,autoimmune,hard,False,1.0,0.95,3,1.0
mistral:7b,autoimmune_027,autoimmune,hard,False,1.0,0.95,3,1.0
mistral:7b,autoimmune_028,autoimmune,hard,False,1.0,0.95,3,0.6666666666666666
mistral:7b,autoimmune_029,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_030,autoimmune,hard,False,1.0,0.95,3,0.6666666666666666
mistral:7b,autoimmune_031,autoimmune,hard,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_032,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_033,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_034,autoimmune,medium,False,1.0,0.95,2,0.5
mistral:7b,autoimmune_035,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_036,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_037,autoimmune,easy,False,1.0,0.95,4,0.75
mistral:7b,autoimmune_038,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_039,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_040,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_041,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_042,autoimmune,easy,False,1.0,0.95,4,1.0
mistral:7b,autoimmune_043,autoimmune,hard,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_044,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_045,autoimmune,hard,False,1.0,0.95,2,0.5
mistral:7b,autoimmune_046,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_047,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_048,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_049,autoimmune,medium,False,1.0,0.95,2,1.0
mistral:7b,autoimmune_050,autoimmune,medium,False,0.0,0.9,2,0.5
mistral:7b,autoimmune_051,autoimmune,easy,True,0.0,0.8,0,
mistral:7b,autoimmune_052,autoimmune,hard,True,1.0,0.5,0,
mistral:7b,autoimmune_053,autoimmune,hard,True,0.0,0.95,0,
mistral:7b,autoimmune_055,autoimmune,medium,True,0.0,0.95,0,
mistral:7b,autoimmune_056,autoimmune,medium,True,0.0,0.9,0,
mistral:7b,cardio_001,cardiology,easy,False,1.0,0.95,4,1.0
mistral:7b,cardio_002,cardiology,easy,False,1.0,0.95,4,1.0
mistral:7b,cardio_003,cardiology,medium,False,0.0,0.95,4,0.0
mistral:7b,cardio_004,cardiology,medium,False,1.0,0.95,4,1.0
mistral:7b,cardio_005,cardiology,medium,False,1.0,0.95,4,1.0
mistral:7b,cardio_006,cardiology,easy,False,0.0,0.95,3,0.3333333333333333
mistral:7b,cardio_007,cardiology,hard,False,1.0,0.95,4,1.0
mistral:7b,cardio_008,cardiology,medium,False,1.0,0.95,4,1.0
mistral:7b,cardio_009,cardiology,hard,False,1.0,0.95,4,1.0
mistral:7b,cardio_010,cardiology,medium,True,0.0,0.85,2,0.0
mistral:7b,cardio_011,cardiology,medium,False,1.0,0.95,4,0.75
mistral:7b,cardio_012,cardiology,medium,False,1.0,0.95,3,1.0
mistral:7b,cardio_013,cardiology,easy,False,1.0,0.95,4,1.0
mistral:7b,cardio_014,cardiology,hard,False,1.0,0.95,4,0.75
mistral:7b,cardio_015,cardiology,medium,False,1.0,0.95,3,1.0
mistral:7b,cardio_016,cardiology,easy,False,1.0,0.95,4,1.0
mistral:7b,cardio_017,cardiology,hard,False,1.0,0.95,4,0.75
mistral:7b,cardio_018,cardiology,medium,True,0.0,0.85,2,0.0
mistral:7b,cardio_019,cardiology,easy,False,1.0,0.95,3,0.6666666666666666
mistral:7b,cardio_020,cardiology,hard,False,0.0,0.95,4,0.25
mistral:7b,cardio_021,cardiology,medium,False,1.0,0.95,3,0.6666666666666666
mistral:7b,cardio_022,cardiology,hard,False,1.0,0.95,3,0.6666666666666666
mistral:7b,cardio_023,cardiology,easy,False,1.0,0.95,3,0.6666666666666666
mistral:7b,cardio_024,cardiology,medium,False,1.0,0.95,3,0.6666666666666666
mistral:7b,cardio_025,cardiology,medium,False,1.0,0.95,3,1.0
mistral:7b,cardio_026,cardiology,hard,False,1.0,0.95,3,1.0
mistral:7b,cardio_027,cardiology,hard,False,1.0,0.95,3,0.6666666666666666
mistral:7b,cardio_028,cardiology,medium,True,1.0,0.95,2,0.5
mistral:7b,cardio_029,cardiology,medium,False,1.0,0.95,3,0.6666666666666666
mistral:7b,cardio_030,cardiology,hard,False,1.0,0.95,3,1.0
mistral:7b,cardio_031,cardiology,hard,False,1.0,0.95,3,1.0
mistral:7b,cardio_032,cardiology,medium,False,1.0,0.95,2,1.0
mistral:7b,cardio_033,cardiology,hard,False,1.0,0.95,3,0.6666666666666666
mistral:7b,cardio_034,cardiology,hard,False,1.0,0.95,2,0.5
mistral:7b,cardio_035,cardiology,medium,False,1.0,0.95,2,0.5
mistral:7b,cardio_036,cardiology,medium,False,1.0,0.95,2,1.0
mistral:7b,cardio_037,cardiology,hard,False,1.0,0.95,2,0.5
mistral:7b,cardio_038,cardiology,medium,False,1.0,0.95,2,0.5
mistral:7b,cardio_039,cardiology,hard,False,1.0,0.95,2,1.0
mistral:7b,cardio_040,cardiology,easy,False,1.0,0.95,3,1.0
mistral:7b,cardio_041,cardiology,hard,False,1.0,0.95,2,1.0
mistral:7b,cardio_042,cardiology,medium,False,1.0,0.95,2,0.5
mistral:7b,cardio_043,cardiology,hard,False,1.0,0.95,2,1.0
mistral:7b,cardio_044,cardiology,medium,False,1.0,0.95,2,1.0
mistral:7b,cardio_045,cardiology,medium,False,1.0,0.95,2,1.0
mistral:7b,cardio_046,cardiology,medium,False,1.0,0.95,2,1.0
mistral:7b,cardio_047,cardiology,medium,False,1.0,0.95,2,1.0
mistral:7b,cardio_048,cardiology,medium,False,1.0,0.95,2,1.0
mistral:7b,cardio_049,cardiology,medium,False,1.0,0.95,2,0.0
mistral:7b,cardio_050,cardiology,hard,True,0.0,0.95,2,0.5
mistral:7b,cardio_051,cardiology,easy,True,0.0,0.95,0,
mistral:7b,cardio_052,cardiology,hard,True,1.0,0.95,0,
mistral:7b,cardio_054,cardiology,hard,True,0.0,0.95,0,
mistral:7b,cardio_055,cardiology,medium,True,0.0,0.95,0,
mistral:7b,cardio_056,cardiology,medium,True,0.0,0.95,0,
mistral:7b,cardio_057,cardiology,medium,True,0.0,0.95,0,
mistral:7b,cardio_058,cardiology,medium,True,0.0,0.9,0,
phi4,autoimmune_001,autoimmune,medium,False,1.0,0.95,4,1.0
phi4,autoimmune_002,autoimmune,hard,False,1.0,0.95,5,0.6
phi4,autoimmune_003,autoimmune,hard,False,1.0,0.95,4,0.75
phi4,autoimmune_004,autoimmune,medium,False,1.0,0.95,4,1.0
phi4,autoimmune_005,autoimmune,hard,False,1.0,0.85,4,0.5
phi4,autoimmune_006,autoimmune,medium,False,1.0,0.9,4,0.5
phi4,autoimmune_007,autoimmune,hard,False,1.0,0.9,4,1.0
phi4,autoimmune_008,autoimmune,easy,False,1.0,0.95,4,1.0
phi4,autoimmune_009,autoimmune,medium,False,1.0,0.95,4,1.0
phi4,autoimmune_010,autoimmune,medium,False,1.0,0.9,4,0.75
phi4,autoimmune_011,autoimmune,medium,False,1.0,0.95,3,1.0
phi4,autoimmune_012,autoimmune,easy,False,1.0,0.95,4,1.0
phi4,autoimmune_013,autoimmune,medium,False,1.0,0.95,3,1.0
phi4,autoimmune_014,autoimmune,medium,False,1.0,0.95,3,1.0
phi4,autoimmune_015,autoimmune,hard,False,1.0,0.9,4,0.75
phi4,autoimmune_016,autoimmune,medium,False,1.0,0.95,3,1.0
phi4,autoimmune_017,autoimmune,hard,False,1.0,0.9,4,1.0
phi4,autoimmune_018,autoimmune,hard,False,1.0,0.95,3,1.0
phi4,autoimmune_019,autoimmune,medium,False,1.0,0.9,3,1.0
phi4,autoimmune_020,autoimmune,medium,True,0.0,0.7,2,0.0
phi4,autoimmune_021,autoimmune,medium,False,1.0,0.95,3,0.6666666666666666
phi4,autoimmune_022,autoimmune,hard,False,1.0,0.95,3,0.6666666666666666
phi4,autoimmune_023,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_024,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_025,autoimmune,medium,False,1.0,0.95,2,0.5
phi4,autoimmune_026,autoimmune,hard,False,1.0,0.95,3,1.0
phi4,autoimmune_027,autoimmune,hard,False,1.0,0.95,3,1.0
phi4,autoimmune_028,autoimmune,hard,False,1.0,0.95,3,1.0
phi4,autoimmune_029,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_030,autoimmune,hard,False,1.0,0.95,3,0.6666666666666666
phi4,autoimmune_031,autoimmune,hard,False,1.0,0.95,2,1.0
phi4,autoimmune_032,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_033,autoimmune,medium,False,1.0,0.9,2,1.0
phi4,autoimmune_034,autoimmune,medium,False,1.0,0.95,2,0.5
phi4,autoimmune_035,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_036,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_037,autoimmune,easy,False,1.0,0.95,4,1.0
phi4,autoimmune_038,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_039,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_040,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_041,autoimmune,medium,False,1.0,0.95,2,0.5
phi4,autoimmune_042,autoimmune,easy,False,1.0,0.95,4,1.0
phi4,autoimmune_043,autoimmune,hard,False,1.0,0.95,2,1.0
phi4,autoimmune_044,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_045,autoimmune,hard,False,1.0,0.95,2,1.0
phi4,autoimmune_046,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_047,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_048,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_049,autoimmune,medium,False,1.0,0.95,2,1.0
phi4,autoimmune_050,autoimmune,medium,False,1.0,0.85,2,1.0
phi4,autoimmune_051,autoimmune,easy,True,0.0,0.7,0,
phi4,autoimmune_052,autoimmune,hard,True,0.0,0.7,0,
phi4,autoimmune_053,autoimmune,hard,True,0.0,0.85,0,
phi4,autoimmune_055,autoimmune,medium,True,0.0,0.85,0,
phi4,autoimmune_056,autoimmune,medium,True,0.0,0.7,0,
phi4,cardio_001,cardiology,easy,False,1.0,0.95,4,1.0
phi4,cardio_002,cardiology,easy,False,1.0,0.95,4,1.0
phi4,cardio_003,cardiology,medium,False,1.0,0.95,4,1.0
phi4,cardio_004,cardiology,medium,False,1.0,0.95,4,1.0
phi4,cardio_005,cardiology,medium,False,1.0,0.95,4,1.0
phi4,cardio_006,cardiology,easy,False,1.0,0.95,3,1.0
phi4,cardio_007,cardiology,hard,False,1.0,0.95,4,1.0
phi4,cardio_008,cardiology,medium,False,1.0,0.95,4,1.0
phi4,cardio_009,cardiology,hard,False,1.0,0.95,4,1.0
phi4,cardio_010,cardiology,medium,True,0.0,0.7,2,0.0
phi4,cardio_011,cardiology,medium,False,1.0,0.95,4,0.75
phi4,cardio_012,cardiology,medium,False,1.0,0.85,3,1.0
phi4,cardio_013,cardiology,easy,False,1.0,0.95,4,1.0
phi4,cardio_014,cardiology,hard,False,1.0,0.85,4,1.0
phi4,cardio_015,cardiology,medium,False,1.0,0.95,3,1.0
phi4,cardio_016,cardiology,easy,False,1.0,0.95,4,1.0
phi4,cardio_017,cardiology,hard,False,1.0,0.95,4,0.75
phi4,cardio_018,cardiology,medium,True,0.0,0.7,2,0.0
phi4,cardio_019,cardiology,easy,False,1.0,0.9,3,0.6666666666666666
phi4,cardio_020,cardiology,hard,False,1.0,0.95,4,0.75
phi4,cardio_021,cardiology,medium,False,1.0,0.95,3,1.0
phi4,cardio_022,cardiology,hard,False,1.0,0.95,3,1.0
phi4,cardio_023,cardiology,easy,False,1.0,0.95,3,0.6666666666666666
phi4,cardio_024,cardiology,medium,False,1.0,0.95,3,0.6666666666666666
phi4,cardio_025,cardiology,medium,False,1.0,0.95,3,1.0
phi4,cardio_026,cardiology,hard,False,1.0,0.95,3,1.0
phi4,cardio_027,cardiology,hard,False,1.0,0.95,3,0.6666666666666666
phi4,cardio_028,cardiology,medium,True,0.0,0.7,2,0.0
phi4,cardio_029,cardiology,medium,False,1.0,0.95,3,1.0
phi4,cardio_030,cardiology,hard,False,1.0,0.95,3,1.0
phi4,cardio_031,cardiology,hard,False,1.0,0.95,3,1.0
phi4,cardio_032,cardiology,medium,False,1.0,0.95,2,1.0
phi4,cardio_033,cardiology,hard,False,1.0,0.9,3,0.6666666666666666
phi4,cardio_034,cardiology,hard,False,1.0,0.95,2,0.5
phi4,cardio_035,cardiology,medium,False,1.0,0.85,2,0.5
phi4,cardio_036,cardiology,medium,False,1.0,0.85,2,0.5
phi4,cardio_037,cardiology,hard,False,1.0,0.95,2,1.0
phi4,cardio_038,cardiology,medium,False,1.0,0.95,2,1.0
phi4,cardio_039,cardiology,hard,False,1.0,0.9,2,1.0
phi4,cardio_040,cardiology,easy,False,1.0,0.95,3,1.0
phi4,cardio_041,cardiology,hard,False,1.0,0.95,2,1.0
phi4,cardio_042,cardiology,medium,False,1.0,0.95,2,0.5
phi4,cardio_043,cardiology,hard,False,1.0,0.95,2,1.0
phi4,cardio_044,cardiology,medium,False,1.0,0.95,2,1.0
phi4,cardio_045,cardiology,medium,False,1.0,0.9,2,1.0
phi4,cardio_046,cardiology,medium,False,1.0,0.95,2,1.0
phi4,cardio_047,cardiology,medium,False,0.0,0.85,2,0.5
phi4,cardio_048,cardiology,medium,False,1.0,0.9,2,1.0
phi4,cardio_049,cardiology,medium,False,1.0,0.95,2,0.0
phi4,cardio_050,cardiology,hard,True,0.0,0.85,2,0.5
phi4,cardio_051,cardiology,easy,True,0.0,0.85,0,
phi4,cardio_052,cardiology,hard,True,0.0,0.85,0,
phi4,cardio_054,cardiology,hard,True,0.0,0.7,0,
phi4,cardio_055,cardiology,medium,True,0.0,0.85,0,
phi4,cardio_056,cardiology,medium,True,0.0,0.9,0,
phi4,cardio_057,cardiology,medium,True,0.0,0.85,0,
phi4,cardio_058,cardiology,medium,True,0.0,0.9,0,
qwen2.5:7b,autoimmune_001,autoimmune,medium,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_002,autoimmune,hard,False,1.0,0.95,5,0.6
qwen2.5:7b,autoimmune_003,autoimmune,hard,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_004,autoimmune,medium,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_005,autoimmune,hard,False,1.0,0.85,4,1.0
qwen2.5:7b,autoimmune_006,autoimmune,medium,False,1.0,0.85,4,0.75
qwen2.5:7b,autoimmune_007,autoimmune,hard,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_008,autoimmune,easy,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_009,autoimmune,medium,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_010,autoimmune,medium,False,1.0,0.85,4,0.75
qwen2.5:7b,autoimmune_011,autoimmune,medium,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_012,autoimmune,easy,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_013,autoimmune,medium,False,1.0,0.95,3,0.3333333333333333
qwen2.5:7b,autoimmune_014,autoimmune,medium,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_015,autoimmune,hard,False,1.0,0.95,4,0.75
qwen2.5:7b,autoimmune_016,autoimmune,medium,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_017,autoimmune,hard,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_018,autoimmune,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_019,autoimmune,medium,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_020,autoimmune,medium,True,0.0,0.7,2,0.0
qwen2.5:7b,autoimmune_021,autoimmune,medium,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,autoimmune_022,autoimmune,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_023,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_024,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_025,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_026,autoimmune,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_027,autoimmune,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_028,autoimmune,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,autoimmune_029,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_030,autoimmune,hard,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,autoimmune_031,autoimmune,hard,False,1.0,0.95,2,0.5
qwen2.5:7b,autoimmune_032,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_033,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_034,autoimmune,medium,False,1.0,0.95,2,0.5
qwen2.5:7b,autoimmune_035,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_036,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_037,autoimmune,easy,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_038,autoimmune,medium,False,1.0,0.95,2,0.5
qwen2.5:7b,autoimmune_039,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_040,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_041,autoimmune,medium,False,1.0,0.95,2,0.5
qwen2.5:7b,autoimmune_042,autoimmune,easy,False,1.0,0.95,4,1.0
qwen2.5:7b,autoimmune_043,autoimmune,hard,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_044,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_045,autoimmune,hard,False,1.0,0.95,2,0.5
qwen2.5:7b,autoimmune_046,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_047,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_048,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_049,autoimmune,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,autoimmune_050,autoimmune,medium,False,1.0,0.85,2,1.0
qwen2.5:7b,autoimmune_051,autoimmune,easy,True,0.0,0.7,0,
qwen2.5:7b,autoimmune_052,autoimmune,hard,True,0.0,0.85,0,
qwen2.5:7b,autoimmune_053,autoimmune,hard,True,0.0,0.85,0,
qwen2.5:7b,autoimmune_055,autoimmune,medium,True,0.0,0.85,0,
qwen2.5:7b,autoimmune_056,autoimmune,medium,True,0.0,0.85,0,
qwen2.5:7b,cardio_001,cardiology,easy,False,1.0,0.85,4,1.0
qwen2.5:7b,cardio_002,cardiology,easy,False,1.0,0.95,4,1.0
qwen2.5:7b,cardio_003,cardiology,medium,False,0.0,0.95,4,0.0
qwen2.5:7b,cardio_004,cardiology,medium,False,1.0,0.95,4,1.0
qwen2.5:7b,cardio_005,cardiology,medium,False,1.0,0.85,4,1.0
qwen2.5:7b,cardio_006,cardiology,easy,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,cardio_007,cardiology,hard,False,1.0,0.95,4,1.0
qwen2.5:7b,cardio_008,cardiology,medium,False,0.0,0.95,4,0.0
qwen2.5:7b,cardio_009,cardiology,hard,False,1.0,0.95,4,1.0
qwen2.5:7b,cardio_010,cardiology,medium,True,0.0,0.85,2,0.0
qwen2.5:7b,cardio_011,cardiology,medium,False,1.0,0.95,4,0.75
qwen2.5:7b,cardio_012,cardiology,medium,False,0.0,0.95,3,0.0
qwen2.5:7b,cardio_013,cardiology,easy,False,1.0,0.95,4,1.0
qwen2.5:7b,cardio_014,cardiology,hard,False,1.0,0.95,4,1.0
qwen2.5:7b,cardio_015,cardiology,medium,False,1.0,0.95,3,1.0
qwen2.5:7b,cardio_016,cardiology,easy,False,1.0,0.95,4,0.75
qwen2.5:7b,cardio_017,cardiology,hard,False,1.0,0.85,4,0.75
qwen2.5:7b,cardio_018,cardiology,medium,True,0.0,0.85,2,0.0
qwen2.5:7b,cardio_019,cardiology,easy,False,0.0,0.95,3,0.3333333333333333
qwen2.5:7b,cardio_020,cardiology,hard,False,0.0,0.95,4,0.25
qwen2.5:7b,cardio_021,cardiology,medium,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,cardio_022,cardiology,hard,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,cardio_023,cardiology,easy,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,cardio_024,cardiology,medium,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,cardio_025,cardiology,medium,False,1.0,0.85,3,0.6666666666666666
qwen2.5:7b,cardio_026,cardiology,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,cardio_027,cardiology,hard,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,cardio_028,cardiology,medium,True,0.0,0.85,2,0.0
qwen2.5:7b,cardio_029,cardiology,medium,False,1.0,0.95,3,0.6666666666666666
qwen2.5:7b,cardio_030,cardiology,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,cardio_031,cardiology,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,cardio_032,cardiology,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,cardio_033,cardiology,hard,False,1.0,0.95,3,1.0
qwen2.5:7b,cardio_034,cardiology,hard,False,1.0,0.95,2,0.5
qwen2.5:7b,cardio_035,cardiology,medium,False,1.0,0.85,2,0.5
qwen2.5:7b,cardio_036,cardiology,medium,False,1.0,0.85,2,1.0
qwen2.5:7b,cardio_037,cardiology,hard,False,1.0,0.95,2,0.5
qwen2.5:7b,cardio_038,cardiology,medium,False,1.0,0.95,2,0.5
qwen2.5:7b,cardio_039,cardiology,hard,False,1.0,0.85,2,1.0
qwen2.5:7b,cardio_040,cardiology,easy,False,1.0,0.95,3,1.0
qwen2.5:7b,cardio_041,cardiology,hard,False,1.0,0.95,2,1.0
qwen2.5:7b,cardio_042,cardiology,medium,False,1.0,0.95,2,0.5
qwen2.5:7b,cardio_043,cardiology,hard,False,1.0,0.95,2,1.0
qwen2.5:7b,cardio_044,cardiology,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,cardio_045,cardiology,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,cardio_046,cardiology,medium,False,1.0,0.95,2,1.0
qwen2.5:7b,cardio_047,cardiology,medium,False,0.0,0.85,2,0.5
qwen2.5:7b,cardio_048,cardiology,medium,False,1.0,0.85,2,1.0
qwen2.5:7b,cardio_049,cardiology,medium,False,1.0,0.95,2,0.0
qwen2.5:7b,cardio_050,cardiology,hard,True,0.0,0.95,2,0.5
qwen2.5:7b,cardio_051,cardiology,easy,True,0.0,0.95,0,
qwen2.5:7b,cardio_052,cardiology,hard,True,0.0,0.85,0,
qwen2.5:7b,cardio_054,cardiology,hard,True,0.0,0.85,0,
qwen2.5:7b,cardio_055,cardiology,medium,True,0.0,0.85,0,
qwen2.5:7b,cardio_056,cardiology,medium,True,0.0,0.95,0,
qwen2.5:7b,cardio_057,cardiology,medium,True,0.0,0.85,0,
qwen2.5:7b,cardio_058,cardiology,medium,True,0.0,0.85,0,
